product_id,product_name,category,subcategory,brand,part_number,vehicle_category,compatible_models,product_type,viscosity_grade,pack_size,unit,purchase_price_inr,selling_price_inr,minimum_stock_level,maximum_stock_level,initial_stock
P001,Castrol Activ 4T,Lubricants,Engine Oil,Castrol,CAS-5506,universal,Universal,Consumable,20W-40,1.0,Litre,300,380,50,150,53
P002,Motul 3000 4T Plus,Lubricants,Engine Oil,Motul,MOT-2679,universal,Universal,Consumable,20W-40,1.0,Litre,320,400,37,111,54
P003,Motul 7100 4T,Lubricants,Engine Oil,Motul,MOT-2424,universal,Universal,Consumable,10W-50,1.0,Litre,750,900,20,100,89
P004,Mak 4T Plus,Lubricants,Engine Oil,Mak,MAK-1488,universal,Universal,Consumable,20W-40,1.0,Litre,280,350,48,192,56
P005,Castrol Scooter Oil,Lubricants,Engine Oil,Castrol,CAS-9279,specific,Scooter specific,Consumable,10W-30,0.8,Litre,250,320,32,96,61
P006,Motul Scooter LE,Lubricants,Engine Oil,Motul,MOT-4257,specific,Scooter specific,Consumable,10W-30,0.8,Litre,280,350,49,147,120
P007,Castrol Chain Lube,Lubricants,Chain Lube,Castrol,CAS-7873,specific,Motorcycle specific,Consumable,N/A,0.5,Litre,150,200,50,250,189
P008,Motul Chain Lube,Lubricants,Chain Lube,Motul,MOT-5557,specific,Motorcycle specific,Consumable,N/A,0.4,Litre,180,250,37,148,112
P009,Bosch Dot 3 Brake Fluid,Lubricants,Brake Fluid,Bosch,BOS-6574,universal,Universal,Consumable,Dot 3,0.25,Litre,80,120,10,30,23
P010,Endurance Fork Oil,Lubricants,Fork Oil,Endurance,END-6514,universal,Universal,Consumable,20W,0.35,Litre,120,160,14,42,20
P011,Rolon Clutch Plate,Clutch components,Clutch Plate,Rolon,ROL-2291,specific,V15,Spare Part,N/A,1.0,Piece,1458,1984,47,141,95
P012,Amaron Speedometer Cable,Cables,Speedometer Cable,Amaron,AMA-4814,specific,V02,Spare Part,N/A,1.0,Piece,1531,2070,5,20,7
P013,Rolon Engine Gasket Kit,Gaskets and seals,Engine Gasket Kit,Rolon,ROL-3803,specific,V09,Spare Part,N/A,1.0,Piece,1544,1863,20,100,29
P014,Endurance Accelerator Cable,Cables,Accelerator Cable,Endurance,END-1916,specific,V18,Spare Part,N/A,1.0,Piece,1155,1728,13,65,33
P015,NGK Brake Pad,Braking system,Brake Pad,NGK,NGK-7482,specific,V11,Spare Part,N/A,1.0,Piece,321,392,13,65,44
P016,Endurance Tube,Tyres and tubes,Tube,Endurance,END-7543,universal,Universal,Spare Part,N/A,1.0,Piece,1060,1495,19,76,76
P017,Endurance Battery,Electrical,Battery,Endurance,END-7916,universal,Universal,Spare Part,N/A,1.0,Piece,422,596,12,60,22
P018,Rolon Fork Seal,Suspension,Fork Seal,Rolon,ROL-9797,specific,V01,Spare Part,N/A,1.0,Piece,1967,2626,20,100,34
P019,Amaron Mudguard,Body parts,Mudguard,Amaron,AMA-2743,specific,V09,Spare Part,N/A,1.0,Piece,1252,1630,18,54,50
P020,Amaron O-Ring,Gaskets and seals,O-Ring,Amaron,AMA-9005,specific,V18,Spare Part,N/A,1.0,Piece,864,1039,18,54,38
P021,NGK Piston,Engine parts,Piston,NGK,NGK-8962,specific,V19,Spare Part,N/A,1.0,Piece,1309,1615,3,9,8
P022,MRF Engine Gasket Kit,Gaskets and seals,Engine Gasket Kit,MRF,MRF-7932,specific,V06,Spare Part,N/A,1.0,Piece,575,794,6,30,25
P023,Minda Brake Cable,Braking system,Brake Cable,Minda,MIN-5061,specific,V15,Spare Part,N/A,1.0,Piece,1684,2523,10,40,13
P024,NGK Brake Pad,Braking system,Brake Pad,NGK,NGK-2104,specific,V03,Spare Part,N/A,1.0,Piece,2318,2852,50,150,79
P025,Bosch Valve,Engine parts,Valve,Bosch,BOS-4981,specific,V05,Spare Part,N/A,1.0,Piece,1190,1647,19,95,79
P026,Rolon Mudguard,Body parts,Mudguard,Rolon,ROL-2612,specific,V14,Spare Part,N/A,1.0,Piece,447,617,44,220,57
P027,NGK Valve,Engine parts,Valve,NGK,NGK-4006,universal,Universal,Spare Part,N/A,1.0,Piece,497,614,9,27,22
P028,Minda Oil Filter,Filters,Oil Filter,Minda,MIN-9856,specific,V18,Spare Part,N/A,1.0,Piece,358,467,3,9,8
P029,Bosch Engine Gasket Kit,Gaskets and seals,Engine Gasket Kit,Bosch,BOS-7209,specific,V07,Spare Part,N/A,1.0,Piece,1018,1229,42,126,63
P030,Gabriel Valve,Engine parts,Valve,Gabriel,GAB-5861,specific,V18,Spare Part,N/A,1.0,Piece,1913,2390,45,135,69
P031,Exide Brake Pad,Braking system,Brake Pad,Exide,EXI-3579,universal,Universal,Spare Part,N/A,1.0,Piece,299,422,9,45,42
P032,Bosch Timing Chain,Engine parts,Timing Chain,Bosch,BOS-1651,specific,V08,Spare Part,N/A,1.0,Piece,330,448,8,24,15
P033,Rolon Fork Seal,Suspension,Fork Seal,Rolon,ROL-7484,specific,V07,Spare Part,N/A,1.0,Piece,2365,3152,7,21,11
P034,CEAT Sprocket,Transmission,Sprocket,CEAT,CEA-4492,specific,V19,Spare Part,N/A,1.0,Piece,347,400,11,33,28
P035,Endurance Speedometer Cable,Cables,Speedometer Cable,Endurance,END-9666,specific,V06,Spare Part,N/A,1.0,Piece,331,482,44,220,121
P036,MRF Timing Chain,Engine parts,Timing Chain,MRF,MRF-3546,universal,Universal,Spare Part,N/A,1.0,Piece,474,700,11,33,28
P037,Exide Oil Filter,Filters,Oil Filter,Exide,EXI-1832,specific,V09,Spare Part,N/A,1.0,Piece,1454,1775,18,72,34
P038,Gabriel Clutch Cable,Clutch components,Clutch Cable,Gabriel,GAB-8007,specific,V09,Spare Part,N/A,1.0,Piece,1416,2010,35,175,148
P039,Bosch Accelerator Cable,Cables,Accelerator Cable,Bosch,BOS-3088,specific,V19,Spare Part,N/A,1.0,Piece,660,885,47,141,102
P040,NGK Valve,Engine parts,Valve,NGK,NGK-7658,specific,V08,Spare Part,N/A,1.0,Piece,213,311,3,12,11
P041,Minda Fork Seal,Suspension,Fork Seal,Minda,MIN-5065,universal,Universal,Spare Part,N/A,1.0,Piece,775,1130,7,28,28
P042,Bosch Air Filter,Filters,Air Filter,Bosch,BOS-4652,specific,V15,Spare Part,N/A,1.0,Piece,208,301,15,60,29
